
作者mc03pl (倒著念)看板Tech_Job標題Re: [請益] 友達 vs 台積 時間Tue May 12 14:59:19 2015

若以友達每年調薪7%,GG每年調薪3%來看
AUO不一定比較差喔!!

               AUO                   GG
          月薪      年薪        月薪      年薪
第1年    47000    752000       44800    985600
第2年    50290    804640       46144   1384320
第3年    53810    860965       47528   1425850
第4年    57577    921232       48954   1468625
第5年    61607    985719       50423   1512684
第6年    65920   1054719       51935   1558064
第7年    70534   1128549       53494   1604806
第8年    75472   1207548       55098   1652950
第9年    80755   1292076       56751   1702539
第10年   86408   1382521       58454   1753615
第11年   92456   1479298       60207   1806224
第12年   98928   1582849       62014   1860410
第13年  105853   1693648       63874   1916223
第14年  113263   1812203       65790   1973709
第15年  121191   1939058       67764   2032921
第16年  129674   2074792       69797   2093908
第17年  138752   2220027       71891   2156725
第18年  148464   2375429       74048   2221427
第19年  158857   2541709       76269   2288070
第20年  169977   2719629       78557   2356712

